,TS,9999,1111,5555
2012-12-27,12/27/2012,17532.52634441497,60.175210512331184,66.52838402667163
2012-12-28,12/28/2012,14777.566772626415,51.44027219928574,58.59055819321618
2012-12-29,12/29/2012,13304.912732066534,44.171553022196235,51.97841394210157
2012-12-30,12/30/2012,10805.268558254882,38.252297162463755,46.55324873771661
2012-12-31,12/31/2012,9059.859781568846,33.423014912930746,42.082561683458984
2013-01-01,01/01/2013,7637.628819085478,29.426681874429345,38.34932085286318
2013-01-02,01/02/2013,6467.591304020098,26.132114972294694,35.22094620527773
2013-01-03,01/03/2013,5497.803141329705,23.40034659195781,32.584186633534
2013-01-04,01/04/2013,4710.722167642853,21.140391291896062,30.3554012768688
2013-01-05,01/05/2013,4069.4736719051702,19.28002520845017,28.494199363761215
2013-01-06,01/06/2013,4025.8366100101457,17.652170368479588,26.82475720686102
2013-01-07,01/07/2013,3381.2731269275314,16.341176951808833,25.412754355305278
2013-01-08,01/08/2013,2964.884599488195,15.208511317848375,24.165023328162818
2013-01-09,01/09/2013,2642.9735224403958,14.29233332094108,23.14955486116932
2013-01-10,01/10/2013,3118.326689849644,14.646165063916659,25.46116102552129
2013-01-11,01/11/2013,2416.7016184515396,13.4739356625002,22.799612529278505
2013-01-12,01/12/2013,2170.3178910439133,12.708112438121857,21.807969305911026
2013-01-13,01/13/2013,1961.7813003354006,12.022458038696461,20.904657478045287
2013-01-14,01/14/2013,1776.632786495503,11.44709713472582,20.090807190100207
2013-01-15,01/15/2013,1627.1025559298578,10.934910915198728,19.347367746972232
2013-01-16,01/16/2013,1495.4405241557347,10.46676744920688,18.654636195647814
2013-01-17,01/17/2013,1374.2694173292243,10.036571510799103,18.01036402034525
2013-01-18,01/18/2013,1269.5500564619729,9.64288535508468,17.40837837423998
2013-01-19,01/19/2013,1185.0885950831312,9.280271393464222,16.842014700112305
2013-01-20,01/20/2013,1107.4801916866413,8.947105054864085,16.310378413724468
2013-01-21,01/21/2013,1035.1383662541202,8.632655093544546,15.800786692050776
2013-01-22,01/22/2013,967.2058661669557,8.337733656443039,15.314091685608213
2013-01-23,01/23/2013,2433.887389838455,12.605660144248946,25.692491249071583
2013-01-24,01/24/2013,3284.133589347074,11.546497272597392,19.4916634782377
2013-01-25,01/25/2013,2117.9945405004974,10.771381097912153,18.44255721897386
2013-01-26,01/26/2013,1944.1282941761551,10.337258283304411,17.74374960461414
2013-01-27,01/27/2013,1732.0038082537756,9.700194231045005,16.904371767673503
2013-01-28,01/28/2013,1563.278307250311,9.192418338157259,16.190560447464126
2013-01-29,01/29/2013,1417.786494352302,8.718199574241769,15.50707596191103
2013-01-30,01/30/2013,1287.9059249284296,8.308090702961362,14.897053360181108
2013-01-31,01/31/2013,1175.4112014838793,7.941292280862351,14.345559158334945
2013-02-01,02/01/2013,1083.0242412363164,7.60496121801244,13.830282220458166
2013-02-02,02/02/2013,994.5301255198608,7.295607697678462,13.352075515087979
2013-02-03,02/03/2013,920.8942791293979,7.006359483372392,12.899966528207555
2013-02-04,02/04/2013,852.3208010715989,6.739551012479428,12.471633982667456
2013-02-05,02/05/2013,792.554777130721,6.50491429908658,12.089735912493254
