,TS,9999,1111,5555
2014-05-11,05/11/2014,515.7774290712415,5.494616000000001,6.051096
2014-05-12,05/12/2014,493.1970171604943,5.353148,5.895962
2014-05-13,05/13/2014,480.3964955146549,5.215209,5.743646
2014-05-14,05/14/2014,463.34905482685446,5.0764879999999994,5.596711
2014-05-15,05/15/2014,449.4747989930886,4.942189,5.458385
2014-05-16,05/16/2014,432.51415997193084,4.804399,5.321179
2014-05-17,05/17/2014,412.6529051716577,4.674949,5.190154
2014-05-18,05/18/2014,402.1716726916664,4.559835,5.064493
2014-05-19,05/19/2014,389.472010647846,4.439878,4.943237
2014-05-20,05/20/2014,374.6068746207682,4.310301,4.806343
2014-05-21,05/21/2014,352.34817336586457,4.188675,4.674257
2014-05-22,05/22/2014,340.23964525290893,4.092408,4.559023000000001
2014-05-23,05/23/2014,331.48251953389763,3.9912449999999997,4.451407
2014-05-24,05/24/2014,315.75698684072916,3.8777980000000003,4.3310010000000005
2014-05-25,05/25/2014,305.7424207281536,3.7651489999999996,4.2172529999999995
2014-05-26,05/26/2014,298.6196886397842,3.683506,4.116662
2014-05-27,05/27/2014,289.1199813279618,3.5636699999999997,4.00516
2014-05-28,05/28/2014,273.7961621469494,3.4709269999999997,3.9023839999999996
2014-05-29,05/29/2014,265.14928968169585,3.3788720000000003,3.7995370000000004
2014-05-30,05/30/2014,254.37508096307386,3.3201129999999996,3.7155089999999995
2014-05-31,05/31/2014,252.5187996144093,3.237373,3.622215
2014-06-01,06/01/2014,248.29340926973975,3.1443,3.5282160000000005
2014-06-02,06/02/2014,237.8832097464296,3.067349,3.441703
2014-06-03,06/03/2014,231.22333384373584,2.989783,3.356359
2014-06-04,06/04/2014,223.92987159695184,2.903076,3.2603880000000003
2014-06-05,06/05/2014,219.02384230837623,2.827234,3.174584
2014-06-06,06/06/2014,211.7812172774345,2.743856,3.087195
2014-06-07,06/07/2014,200.13657223850862,2.670171,3.0094540000000003
2014-06-08,06/08/2014,193.98778623666888,2.604892,2.934142
2014-06-09,06/09/2014,194.12366646477432,2.536275,2.858874
2014-06-10,06/10/2014,187.694512012112,2.458037,2.781124
2014-06-11,06/11/2014,177.0823994121101,2.405201,2.71847
2014-06-12,06/12/2014,182.6395258290816,2.3604700000000003,2.668068
2014-06-13,06/13/2014,178.435961002458,2.284884,2.592025
2014-06-14,06/14/2014,172.2103596702979,2.214381,2.525189
2014-06-15,06/15/2014,170.21127375209014,2.1634889999999998,2.462392
2014-06-16,06/16/2014,169.94603696371374,2.117566,2.402982
2014-06-17,06/17/2014,166.14993431013394,2.051634,2.332382
2014-06-18,06/18/2014,149.32434836821068,2.011564,2.2735279999999998
2014-06-19,06/19/2014,153.3798833021353,1.9635369999999999,2.219976
2014-06-20,06/20/2014,143.3019800510859,1.9172049999999998,2.1642639999999997
2014-06-21,06/21/2014,141.26146506542324,1.8615849999999998,2.108934
2014-06-22,06/22/2014,142.3883784206737,1.8126259999999998,2.053383
2014-06-23,06/23/2014,141.0542099507258,1.765711,1.9977599999999998
