DTTM,TS,9999,1111,5555
2009-05-22,05/22/2009,578.6578224750195,5.2383996,7.8753383999999995
2009-05-23,05/23/2009,526.6064760664286,5.055525,7.6453443000000005
2009-05-24,05/24/2009,487.3088787495442,4.8786912,7.4211408
2009-05-25,05/25/2009,446.6495041007964,4.723317000000001,7.2040850999999995
2009-05-26,05/26/2009,405.65510983651126,4.5695124,6.9959394
2009-05-27,05/27/2009,379.973379012197,4.4375796,6.8040873
2009-05-28,05/28/2009,354.9241051722002,4.315141799999999,6.6221136
2009-05-29,05/29/2009,333.99137563010225,4.1937552,6.4462212
2009-05-30,05/30/2009,321.87443538608926,4.0765617,6.277554000000001
2009-05-31,05/31/2009,307.18722033167387,3.9613311,6.1125074999999995
2009-06-01,06/01/2009,292.06551799707245,3.8507355000000003,5.955671700000001
2009-06-02,06/02/2009,290.07855581441675,3.7504503000000002,5.8090995
2009-06-03,06/03/2009,290.96977419693167,3.6675522000000003,5.6765151000000005
2009-06-04,06/04/2009,281.56799498275967,3.5564454,5.521862700000001
2009-06-05,06/05/2009,273.16826899355056,3.4532451,5.3609895000000005
2009-06-06,06/06/2009,262.5066061807293,3.3575922,5.2142562
2009-06-07,06/07/2009,256.8887372766134,3.2605317,5.0741316
2009-06-08,06/08/2009,248.39662815387078,3.1709313000000003,4.9401288
2009-06-09,06/09/2009,241.35048190007103,3.1016367,4.8255309
2009-06-10,06/10/2009,242.08349065751636,3.0164778,4.69665
2009-06-11,06/11/2009,239.51005436033176,2.9198574,4.5651456
2009-06-12,06/12/2009,234.60364004057578,2.8428210000000003,4.4445474
2009-06-13,06/13/2009,234.5551988383254,2.7815589000000003,4.3320951
2009-06-14,06/14/2009,229.12468676201058,2.7046638,4.2176988
2009-06-15,06/15/2009,228.44225282566015,2.6452188,4.1282487
2009-06-16,06/16/2009,224.8997882843529,2.563038,4.0008591000000004
2009-06-17,06/17/2009,218.5589786149114,2.4927642000000003,3.8916152999999998
2009-06-18,06/18/2009,203.62063370208176,2.4158763,3.7834901999999997
2009-06-19,06/19/2009,201.44796279963342,2.3457132,3.6879426
2009-06-20,06/20/2009,195.57390857572864,2.2577418000000002,3.5933193
2009-06-21,06/21/2009,190.7962932055087,2.1952152,3.4938954
2009-06-22,06/22/2009,182.8721565368461,2.1528261,3.3996591
2009-06-23,06/23/2009,177.53814904603271,2.11104,3.3115365
2009-06-24,06/24/2009,171.66960903763066,2.0684718,3.2293340999999995
2009-06-25,06/25/2009,167.8031777067616,2.0199825000000002,3.1490154
2009-06-26,06/26/2009,165.53651714576512,1.956726,3.0589766999999997
2009-06-27,06/27/2009,161.35383867906052,1.9095218999999999,2.9742452999999998
2009-06-28,06/28/2009,158.36700601574162,1.8579069000000001,2.8942299
2009-06-29,06/29/2009,151.08472419951943,1.8127008,2.8225602
2009-06-30,06/30/2009,150.02708545861293,1.7685459,2.7472130999999997
2009-07-01,07/01/2009,148.32767854545958,1.7320473,2.6893872
2009-07-02,07/02/2009,145.57826972257374,1.6868826000000001,2.6188758
2009-07-03,07/03/2009,145.68283768398442,1.6438949999999999,2.5494822000000004
2009-07-04,07/04/2009,144.09926742454456,1.6029414,2.4839055
2009-07-05,07/05/2009,138.18386395867063,1.5645591000000003,2.4228792
2009-07-06,07/06/2009,137.77695462983286,1.5150087,2.3586228
2009-07-07,07/07/2009,128.6051730137655,1.4604426,2.2901192999999997
2009-07-08,07/08/2009,124.32227497260259,1.4261049000000001,2.2326426
2009-07-09,07/09/2009,123.39267688851565,1.3981716,2.1772917
2009-07-10,07/10/2009,122.89084417326747,1.367352,2.1217383
2009-07-11,07/11/2009,121.29945823270228,1.3361769,2.0665917000000005
2009-07-12,07/12/2009,121.93259120565418,1.2958875,2.0103291000000003
2009-07-13,07/13/2009,115.11635741424674,1.2454488,1.9465704000000001
2009-07-14,07/14/2009,110.84630219153448,1.2097899,1.8884573999999998
2009-07-15,07/15/2009,106.07805784680427,1.1878659,1.8421965
2009-07-16,07/16/2009,104.56927624688825,1.1596563000000002,1.7955873000000002
2009-07-17,07/17/2009,102.55739894968652,1.1324817,1.7494929000000001
2009-07-18,07/18/2009,101.1809343834927,1.1000619,1.6991361000000003
2009-07-19,07/19/2009,97.61879796910605,1.0671975,1.6528572000000004
